               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.061302,            0.019033,                   0,              0.6068,             0.78571,             0.72862,             0.34468,            0.028067,            0.010428,                   0,           0.0089153,           0.0089153,           0.0089153
                  57,            0.053454,            0.027632,                   0,              0.6068,             0.78571,             0.72862,             0.34468,            0.028067,            0.010428,                   0,           0.0088956,           0.0088956,           0.0088956
                  58,            0.047304,            0.022322,                   0,             0.49912,             0.78571,             0.67954,             0.30635,            0.027459,            0.010492,                   0,           0.0088759,           0.0088759,           0.0088759
                  59,            0.050788,            0.025613,                   0,             0.81873,             0.78571,             0.84549,             0.44063,            0.024053,            0.010249,                   0,           0.0088562,           0.0088562,           0.0088562
                  60,            0.051722,            0.029018,                   0,             0.81873,             0.78571,             0.84549,             0.44063,            0.024053,            0.010249,                   0,           0.0088365,           0.0088365,           0.0088365
                  61,            0.043811,            0.022266,                   0,             0.84623,             0.78571,             0.85564,             0.45722,            0.023061,           0.0099061,                   0,           0.0088167,           0.0088167,           0.0088167
                  62,            0.051033,            0.033409,                   0,              0.5145,             0.64286,             0.57904,             0.25504,            0.027418,            0.010096,                   0,            0.008797,            0.008797,            0.008797
                  63,            0.049599,            0.022015,                   0,              0.5145,             0.64286,             0.57904,             0.25504,            0.027418,            0.010096,                   0,           0.0087773,           0.0087773,           0.0087773
                  64,            0.053306,            0.026227,                   0,             0.76922,             0.78571,             0.79656,             0.41092,            0.023747,           0.0096827,                   0,           0.0087576,           0.0087576,           0.0087576
                  65,            0.053535,            0.025723,                   0,             0.76922,             0.78571,             0.79656,             0.41092,            0.023747,           0.0096827,                   0,           0.0087378,           0.0087378,           0.0087378
                  66,            0.051878,            0.033598,                   0,             0.85204,             0.85714,             0.89015,             0.45761,            0.023533,           0.0096042,                   0,           0.0087181,           0.0087181,           0.0087181
                  67,            0.042385,            0.020328,                   0,             0.78434,             0.77977,             0.81583,             0.38676,            0.024769,           0.0096142,                   0,           0.0086984,           0.0086984,           0.0086984
                  68,            0.046074,            0.029132,                   0,             0.78434,             0.77977,             0.81583,             0.38676,            0.024769,           0.0096142,                   0,           0.0086787,           0.0086787,           0.0086787
                  69,            0.053638,            0.021281,                   0,             0.88025,             0.85714,             0.92059,             0.52962,            0.024294,           0.0093002,                   0,            0.008659,            0.008659,            0.008659
                  70,            0.043825,            0.024281,                   0,              0.5038,             0.78571,             0.66816,             0.28242,            0.031097,           0.0098579,                   0,           0.0086392,           0.0086392,           0.0086392
                  71,              0.0438,            0.020289,                   0,              0.5038,             0.78571,             0.66816,             0.28242,            0.031097,           0.0098579,                   0,           0.0086195,           0.0086195,           0.0086195
                  72,            0.053052,            0.027746,                   0,             0.87572,             0.78571,             0.90178,             0.49233,            0.026681,           0.0096002,                   0,           0.0085998,           0.0085998,           0.0085998
                  73,            0.035125,            0.021364,                   0,             0.87572,             0.78571,             0.90178,             0.49233,            0.026681,           0.0096002,                   0,           0.0085801,           0.0085801,           0.0085801
                  74,            0.043379,            0.021491,                   0,             0.64224,             0.89849,             0.77346,             0.42949,            0.027317,           0.0094631,                   0,           0.0085604,           0.0085604,           0.0085604
                  75,            0.047503,            0.026768,                   0,             0.51932,             0.77224,             0.66236,             0.25308,             0.03436,           0.0096428,                   0,           0.0085406,           0.0085406,           0.0085406
                  76,            0.049361,            0.027024,                   0,             0.51932,             0.77224,             0.66236,             0.25308,             0.03436,           0.0096428,                   0,           0.0085209,           0.0085209,           0.0085209
                  77,            0.040513,            0.020225,                   0,             0.82134,             0.78571,             0.87456,             0.42405,            0.024794,           0.0094547,                   0,           0.0085012,           0.0085012,           0.0085012
                  78,            0.042034,            0.024479,                   0,              0.5704,             0.78571,             0.65031,             0.33347,            0.030807,           0.0088804,                   0,           0.0084815,           0.0084815,           0.0084815
                  79,            0.054355,            0.020868,                   0,              0.5704,             0.78571,             0.65031,             0.33347,            0.030807,           0.0088804,                   0,           0.0084618,           0.0084618,           0.0084618
                  80,            0.061217,            0.030149,                   0,             0.68346,             0.78571,             0.73751,             0.42764,            0.027028,             0.00893,                   0,            0.008442,            0.008442,            0.008442
                  81,            0.048079,            0.024664,                   0,             0.68346,             0.78571,             0.73751,             0.42764,            0.027028,             0.00893,                   0,           0.0084223,           0.0084223,           0.0084223
                  82,            0.048545,             0.02242,                   0,             0.89658,             0.78571,             0.89503,             0.50021,            0.026376,           0.0088298,                   0,           0.0084026,           0.0084026,           0.0084026
